"list","date","vendor","product","price","cat","subcat","feedback","from","to"
"2014-03-01__AAhx9BjiVB.html","2014-03-01","Mr.Lewis","5 gr. Pure MDMA Crystals 84%",0.26520509,"Drugs","Ecstasy","
    Feedbacks:
    
        
            
                
                    5/5
                    all good!super fast delivery very good communication..quality products mdma and coke clean.and mrlewis never asked me to FE.goo
                    

                    6 days ago
                    anon [0 deals]
                
            
        
    
","
      Belgium
     ","Worldwide
    "
"2014-03-01__AAnFxgxx8P.html","2014-03-01","iLoveTaffy","NaGHB powder form - 25g LEAVING AGORA IN 48 HOURS.  LAST CHANCE DEAL.",0.02691065,"Drugs","Dissociatives","
    Feedbacks:
    No feedbacks found.
","
      USA
     ","Worldwide
    "
"2014-03-01__AaoV5wUy4d.html","2014-03-01","ProperPacks","1g Pure White Crystal MoonRock MDMA",0.12468827,"Drugs","Ecstasy","
    Feedbacks:
    
        
            
                
                    5/5
                    Order got here today! Vendor was communicative and shipped quick. Haven't had a chance to try it yet though. Will update when I
                    

                    1 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    fast shipping, great customer service, and the product is very high quality
                    

                    4 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    GREAT VENDOR A+++.. Great communication, product as described - awesome stealth - powerful stuff - better than other popular ve
                    

                    5 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Everything looks great! Shipping was quick. Will be doing repeat business!
                    

                    1 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Very fast service, good stealth, and friendly vendor.  Will update after trying product.
                    

                    0 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","
      USA
     ","USA
    "
"2014-03-01__AATePMzg4P.html","2014-03-01","timeprime","224g Half Pound of Snapple Kush - Limited New Seller Sale",1.88094513,"Drugs","Cannabis","
    Feedbacks:
    
        
            
                
                    5/5
                    Great smell!
                    

                    0 days ago
                    anon [0 deals]
                
            
        
    
","
      USA
     ","USA
    "
"2014-03-01__AAYz8dDRiq.html","2014-03-01","DutchMagic","Amnesia Haze - 50g [Agora Opening Sale]",0.94972891,"Drugs","Cannabis","
    Feedbacks:
    
        
            
                
                    5/5
                    FE for a trusted seller SR!
                    

                    3 days ago
                    anon [0 deals]
                
            
        
    
","
      Netherlands
     ","Worldwide except USA/Israel/NL
    "
"2014-03-01__AB007K3TEU.html","2014-03-01","RosesGarden","Hash Gummies! (X16)",0.09470956,"Drugs","Cannabis","
    Feedbacks:
    No feedbacks found.
","
      USA
     ","Worldwide
    "
"2014-03-01__Ab3JxXJhKi.html","2014-03-01","EmeraldTriangle","1/4 oz Green Ribbon - FREE SHIPPING",0.14637629,"Drugs","Cannabis","
    Feedbacks:
    No feedbacks found.
","
      USA
     ","USA ONLY
    "
"2014-03-01__AB6mL3belR.html","2014-03-01","Interways","25 Pills ~ 200 mg. MDMA ""Apple""",0.262084,"Drugs","Ecstasy","
    Feedbacks:
    
        
            
                
                    5/5
                    Alles super von der bestellungen bis zur lieferung so wie es sein muss!! Jede bestellung bis jetzt ging ohne probleme über die 
                    

                    5 days ago
                    anon [0 deals]
                
            
        
    
","
      Germany
     ","Worldwide
    "
"2014-03-01__ab721hdiGB.html","2014-03-01","u00002","ETHYLPHENIDATE ** 5GR ** 99% purity ** SPAIN",0.22352711,"Drugs","RCs","
    Feedbacks:
    No feedbacks found.
","
      Spain
    
    ",NA
"2014-03-01__AbA9ox9ju1.html","2014-03-01","goldentemplecartel","112 GRAMS QP",0.38328193,"Drugs","Cannabis","
    Feedbacks:
    
        
            
                
                    5/5
                    Excellent shipping time, security, and product quality for the price! Thank you again, GoldenTempleCartel. This is the real dea
                    

                    1 days ago
                    anon [0 deals]
                
            
        
    
","
      USA
     ","USA
    "
