"list","date","vendor","product","price","cat","subcat","subsubcat","feedback","from","to","goodFB","greatFB","okFB","poorFB","badFB","worstFB"
"gizwzGv","2014-02-28","TestSubject","Subutex - Buprenorphine 8mg x 5","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Awesome, insane fast shipping. A+ 0 days ago anon ~5/5, 1~2 deals 5/5 I'll test your subject any day! 1 days ago anon ~5/5, 3~5 deals 5/5 Best vendor around. Best stealth, best communication, and shipping times are awesome too. Will definitely be back to order agai 5 days ago anon ~5/5, 1~2 deals 5/5 Perfect! 6 days ago anon ~5/5, 3~5 deals 5/5 Will always be a repeat customer. Freshest product around. PERFECT, FLAWLESS, IMMACULATE vendor. Thanks again TSsrx!!! 6 days ago anon ~5/5, 1~2 deals 5/5 AAA+ Quick shipping, Great stealth. Overall just a great vendor all around. Thank You 0 days ago anon ~5/5, 1~2 deals 5/5 Great seller! super fast shipping and great communication! 1 days ago anon ~5/5, 3~5 deals "," USA ","USA ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"gMmPuTCs","2014-02-28","Kyohkain","5x Adderall 10mg IR","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Thanks! 1 days ago anon ~5/5, 1~2 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"GyjyBwfg","2014-02-28","TheResistance","20mg Adderall IR x 10 *CRUSHABLE*","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Always nerve racking ordering from a new vendor, but TheResistance came through on all fronts. Fast shipping, and a lot of effo 1 days ago anon [0 deals] "," USA ","USA ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"hcCjKCfTd","2014-02-28","ermahgerddrugs","(10) 35mg+ Amphetamine Sulfate (cap form)","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Great vendor all around. Hooked me up with double my order as well, since my SR order with vendor got screwed during their """"""""ha 3 days ago anon ~5/5, 1~2 deals 5/5 Agora messaging malfunction and vendor being on vacation delayed shipment, but vendor more than made up for it with free xtras. 5 days ago anon ~5/5, 3~5 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"iThNZk","2014-02-28","TheResistance","30mg Adderall IR x 10","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Fast shipping. Great stealth. Great product. Always reliable. Fantastic vendor overall. 0 days ago anon [0 deals] 5/5 5 5 days ago anon ~5/5, 3~5 deals "," USA ","USA ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"JKgMLBwJ","2014-02-28","OzAlpha","10 x 200mg Modafinil (Modalert) - Australia Only","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 FE'd for OzAlpha. Not a single problem. Was as advertised and on time. Thanks mate. 0 days ago anon ~5/5, 1~2 deals 5/5 OzAlpha is the boss!! Next day delivery, incredible reliability, and quality goods. 10/5 for this fella 1 days ago anon ~5/5, 3~5 deals 5/5 Great product helps with my work and will defiantly be buying more. Fast delivery. Thanks mate top job 1 days ago anon ~5/5, 1~2 deals 5/5 The real deal Oz! perfect transaction as always! 1 days ago anon ~5/5, 1~2 deals "," Australia ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"JPToZcPBD","2014-02-28","ermahgerddrugs","(1) 35mg+ Amphetamine Sulfate (cap form)","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Awesome product that is hard to find domestically and they sent me a freebie! This vendor is legit, and I will be back soon. T 4 days ago anon ~5/5, 3~5 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"JtuUCivD","2014-02-28","thatjammypac","10x 15mg Dexedrine Spanules","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Amazing vendor. 6/5 all the way. Perfect across the board; stealth, shipping speed, product. Vendors take out your #2's and tak 0 days ago anon ~5/5, 1~2 deals 5/5 Great vendor and my new supply for all of my dexedrine needs! lol 10/10/10! Have received both orders within 2 business days o 3 days ago anon ~5/5, 6~10 deals "," USA ","USA ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"KmNMWkrhRW","2014-02-28","topdeals","Genuine Etizolam 1mg x 10","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Still selling the cheapest real etizolam online period. Thanks TD. 4 days ago anon [0 deals] ","NA","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"LFBdbsvvZe","2014-02-28","silkyjohnson","30 mg BARR Adderall $10 each","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Awesome price. Real deal 1 days ago anon ~5/5, 1~2 deals 5/5 Great seller 2 days ago anon [0 deals] 5/5 Great seller very happy! 6 days ago anon ~5/5, 3~5 deals 5/5 The coolest seller shipped very quick, great stealth and he even gave a little extra. 6 days ago anon ~5/5, 3~5 deals 5/5 Exceptional all around. Just the type of vendor a person is looking for to be able to trust! Same pills I can get in my pharmac 0 days ago anon ~5/5, 1~2 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
