"list","date","vendor","product","price","cat","subcat","subsubcat","feedback","from","to","goodFB","greatFB","okFB","poorFB","badFB","worstFB"
"rpFasmNyr","2014-02-02","medibuds","5 bhang bars double strength caramel","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Medibuds is the best! Fast shipping and great product!! 1 days ago anon ~5/5, 1~2 deals "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"rxhLzLxVb","2014-02-02","Lion","1 Deca Dose Cheeba Chew","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Smooth quick, quick shipping , A+ 5 days ago anon ~5/5, 6~10 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"SroYzLh","2014-02-02","Lion","200mg Dabby Nut Rolls","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Order arrived very fast and as advertised. I'll use this vendor again. 3 days ago anon ~5/5, 3~5 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Tpbjmgh","2014-02-02","Lion","FireBerry Incredibles Bars, 300mg THC","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Apparently I have Amazon Prime on here as well, because that shit arrived faaast! 5/5 all around, these guys are pros. 5 days ago anon ~5/5, 1~2 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"tegWhlWX","2014-02-02","Eos","1 Deca Dose Cheeba Chew","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Fast shipping and prompt communication 6 days ago anon ~5/5, 3~5 deals "," USA ","USA Only
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"TgxsrhVK","2014-02-02","joeybagadonuts","BAG of 10  CHOCOLATE THC CANDIES  assorted shapes and sizes","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Knows as Thegoods from other markets for people not familiar. Producers of the best bud and edibles you can find anywhere. Abso 5 days ago anon ~5/5, 3~5 deals "," USA ","USA
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"wfMrEpTtm","2014-02-02","Lion","1 BlueKudu Chocolate, 11 doses!!!","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 AWESOME SELLER!!! Everything was there that was supposed to be. edibles are pretty damn good 3 days ago anon ~5/5, 1~2 deals "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"wneAmtpTl","2014-02-02","SweetMeats","200mg infused hash chocolate bar","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Came in fantastically, can't wait to try it! 3 days ago anon ~5/5, 6~10 deals "," From: USA To: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"YtvGdoriy","2014-02-02","Lion","1 Boulder Incredibles Bar, 100mg THC","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 3 days ago anon ~5/5, 1~2 deals 5/5 Arrived fast and just as ordered. Good stealth. 1 days ago anon ~5/5, 3~5 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"YVpvwNNd","2014-02-02","Lion","1 Strawberry Incredibles Bar","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 2 days ago anon ~5/5, 6~10 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
