Date,Price,Open,High,Low,Vol,Change
2015-05-20,58.98,58.32,59.04,58.1,287.13K,3.00%
2015-05-19,57.26,59.54,59.63,57.09,30.30K,-3.65%
2015-05-18,59.43,59.85,60.88,59.06,144.39K,-0.44%
2015-05-15,59.69,59.67,59.97,58.42,222.09K,-0.32%
2015-05-14,59.88,60.1,60.84,59.36,361.43K,-1.02%
2015-05-13,60.5,61.23,61.85,60.02,426.84K,-0.41%
2015-05-12,60.75,59.27,61.36,59.12,397.35K,2.53%
2015-05-11,59.25,59.43,59.85,58.75,332.69K,-0.24%
2015-05-08,59.39,59.02,59.9,58.14,434.58K,0.76%
2015-05-07,58.94,60.69,61.31,58.49,437.02K,-3.27%
2015-05-06,60.93,60.72,62.58,60.54,423.58K,0.88%
2015-05-05,60.4,58.95,61.1,58.63,389.74K,2.49%
2015-05-04,58.93,59.3,59.73,58.45,215.05K,-0.37%
2015-05-01,59.15,59.79,59.9,58.32,244.75K,-0.80%
2015-04-30,59.63,58.55,59.85,58.38,340.32K,1.79%
2015-04-29,58.58,56.93,59.33,56.54,411.10K,2.66%
2015-04-28,57.06,56.65,57.83,56.07,281.86K,0.12%
2015-04-27,56.99,57.3,57.89,56.52,250.56K,-0.28%
2015-04-24,57.15,57.53,57.95,56.5,328.32K,-1.02%
2015-04-23,57.74,56.28,58.41,55.76,415.57K,2.81%
2015-04-22,56.16,56.34,57.19,55.73,329.63K,1.63%
2015-04-21,55.26,56.41,56.91,55.01,29.60K,-1.99%
2015-04-20,56.38,56.16,57.17,54.85,112.38K,1.15%
2015-04-17,55.74,56.56,56.88,55.31,230.62K,-1.71%
2015-04-16,56.71,55.92,57.42,55.07,413.13K,0.57%
2015-04-15,56.39,53.55,56.69,53.39,508.90K,5.82%
2015-04-14,53.29,52.05,53.79,51.83,431.03K,2.66%
2015-04-13,51.91,51.81,53.1,51.47,375.53K,0.52%
2015-04-10,51.64,50.73,51.93,50.08,395.14K,1.67%
2015-04-09,50.79,51,52.07,50.51,449.53K,0.73%
2015-04-08,50.42,53.18,53.23,50.37,552.63K,-6.60%
2015-04-07,53.98,51.95,54.13,51.17,548.87K,3.53%
2015-04-06,52.14,49.47,52.24,49.47,325.28K,6.11%
2015-04-03,49.14,49.14,49.14,49.14,-,0.00%
2015-04-02,49.14,49.59,50.27,48.11,453.39K,-1.90%
2015-04-01,50.09,47.55,50.45,47.05,451.10K,5.23%
2015-03-31,47.6,48.73,48.73,47.28,365.75K,-2.22%
