Date,Price,Open,High,Low,Vol,Change
2015-05-13,66.81,67.32,68.17,66.41,120.83K,-0.07%
2015-05-12,66.86,64.77,67.46,64.68,183.27K,3.00%
2015-05-11,64.91,65.37,65.75,64.25,202.51K,-0.73%
2015-05-08,65.39,65.64,66.12,64.23,248.59K,-0.23%
2015-05-07,65.54,67.37,68.49,65.17,292.89K,-3.29%
2015-05-06,67.77,67.71,69.63,67.35,296.74K,0.37%
2015-05-05,67.52,66.33,68.4,66.14,255.64K,1.61%
2015-05-04,66.45,66.4,67.1,65.95,120.21K,-0.02%
2015-05-01,66.46,66.78,66.93,65.52,189.32K,-0.48%
2015-04-30,66.78,65.63,66.93,65.37,223.48K,1.43%
2015-04-29,65.84,64.64,66.72,64.13,238.44K,1.86%
2015-04-28,64.64,64.74,65.49,63.9,196.46K,-0.29%
2015-04-27,64.83,65.47,65.61,64.4,189.77K,-0.69%
2015-04-24,65.28,64.75,65.8,64.48,259.49K,0.66%
2015-04-23,64.85,62.88,65.58,62.22,326.74K,3.38%
2015-04-22,62.73,61.9,63.33,61.39,230.06K,1.05%
2015-04-21,62.08,63.52,63.52,61.65,218.31K,-2.16%
2015-04-20,63.45,63.85,64.4,62.1,239.80K,0.00%
2015-04-17,63.45,64.02,64.5,62.95,220.12K,-0.83%
2015-04-16,63.98,62.9,64.95,62,293.49K,6.07%
2015-04-15,60.32,58.74,60.45,58.74,21.18K,3.23%
2015-04-14,58.43,58.17,59.24,57.76,106.80K,0.86%
2015-04-13,57.93,58.02,59.54,57.46,119.32K,0.10%
2015-04-10,57.87,56.84,58.12,56.25,137.66K,2.30%
2015-04-09,56.57,56.1,58.02,55.97,174.81K,1.84%
2015-04-08,55.55,58.3,58.72,55.45,250.56K,-6.01%
2015-04-07,59.1,57.8,59.27,57.02,236.71K,1.69%
2015-04-06,58.12,55.18,58.24,55.08,126.80K,5.77%
2015-04-02,54.95,56.72,57.28,54,288.97K,-3.77%
2015-04-01,57.1,55.18,57.69,54.7,256.90K,3.61%
2015-03-31,55.11,56.31,56.33,54.72,238.49K,-2.10%
2015-03-30,56.29,55.96,56.65,55.2,220.11K,-0.21%
2015-03-27,56.41,58.97,59.04,55.95,223.86K,-4.70%
2015-03-26,59.19,56.35,59.78,56.3,334.87K,4.80%
2015-03-25,56.48,55.09,57.17,54.7,256.04K,2.49%
2015-03-24,55.11,55.83,56.79,54.85,197.48K,-1.45%
2015-03-23,55.92,55.24,56.19,54.12,191.64K,1.08%
2015-03-20,55.32,54.46,55.67,53.55,186.67K,1.64%
2015-03-19,54.43,56.18,56.2,53.91,209.65K,-2.65%
2015-03-18,55.91,53.28,56.84,52.68,262.44K,4.49%
2015-03-17,53.51,54.1,54.38,52.57,240.29K,0.13%
2015-03-16,53.44,54.41,54.64,52.5,15.64K,-2.25%
2015-03-13,54.67,57.03,57.4,54.43,84.09K,-4.22%
2015-03-12,57.08,57.92,58.81,56.51,129.73K,-0.80%
2015-03-11,57.54,56.45,57.95,55.92,176.06K,2.04%
2015-03-10,56.39,58.37,58.72,56.12,191.78K,-3.66%
2015-03-09,58.53,59.62,60.02,58.38,194.78K,-2.01%
2015-03-06,59.73,60.75,61.3,59.17,181.48K,-1.24%
2015-03-05,60.48,60.6,61.57,60.08,215.12K,-0.12%
2015-03-04,60.55,60.85,60.94,59.47,260.54K,-0.77%
2015-03-03,61.02,60,61.81,59.84,281.78K,2.49%
2015-03-02,59.54,62.5,62.5,59.34,286.07K,-4.86%
2015-02-27,62.58,60.75,62.83,60.51,255.02K,4.21%
2015-02-26,60.05,61.85,62.63,59.66,261.45K,-2.56%
2015-02-25,61.63,58.75,61.73,58.41,279.65K,5.06%
2015-02-24,58.66,59.09,60.3,58.1,245.52K,-0.41%
2015-02-23,58.9,60.3,60.67,58.37,268.64K,-2.19%
2015-02-20,60.22,60.2,61.15,59.82,221.76K,0.02%
2015-02-19,60.21,59.54,60.99,57.8,303.86K,-0.53%
2015-02-18,60.53,62.3,62.46,60.09,224.10K,-3.20%
2015-02-17,62.53,61.68,63,60.27,277.97K,1.84%
2015-02-16,61.4,61.49,62.57,60.71,171.27K,-0.20%
2015-02-13,61.52,59.27,61.77,59.08,348.80K,7.84%
2015-02-12,57.05,55.12,57.5,54.72,16.21K,4.37%
2015-02-11,54.66,56.81,57,53.91,116.81K,-3.14%
2015-02-10,56.43,57.79,58.57,56.11,157.17K,-3.27%
2015-02-09,58.34,57.93,59.61,57.3,213.52K,0.93%
2015-02-06,57.8,56.74,59.06,56.71,253.31K,2.17%
2015-02-05,56.57,54.8,57.87,53.07,338.82K,4.45%
2015-02-04,54.16,57.19,58.06,53.5,359.74K,-6.48%
2015-02-03,57.91,55,59,54.84,414.59K,5.77%
2015-02-02,54.75,52.68,55.62,51.41,402.07K,3.32%
2015-01-30,52.99,49.15,53.08,48.76,335.02K,7.86%
2015-01-29,49.13,48.69,49.25,48.37,236.63K,1.36%
2015-01-28,48.47,49.1,49.72,48.29,275.15K,-2.28%
2015-01-27,49.6,48.25,49.99,47.67,249.57K,2.99%
2015-01-26,48.16,48.56,49.29,47.57,241.38K,-1.29%
2015-01-23,48.79,49.11,49.8,48.55,245.34K,0.56%
2015-01-22,48.52,48.6,50.45,48.02,321.47K,-1.04%
2015-01-21,49.03,48.29,49.59,48.21,268.65K,2.17%
2015-01-20,47.99,48.91,49.48,47.78,259.58K,-1.74%
2015-01-19,48.84,50.1,50.35,48.68,106.77K,-2.65%
2015-01-16,50.17,48.25,50.41,48.07,293.49K,5.24%
2015-01-15,47.67,48.68,50.62,47,17.93K,-2.09%
2015-01-14,48.69,46.84,49.21,45.59,122.34K,4.51%
2015-01-13,46.59,47.06,47.29,45.19,208.06K,-1.77%
2015-01-12,47.43,49.93,49.98,47.16,223.92K,-5.35%
2015-01-09,50.11,51.25,51.44,48.9,285.72K,-1.67%
2015-01-08,50.96,51.06,51.91,49.81,243.42K,-0.37%
2015-01-07,51.15,51.15,51.84,49.66,318.28K,0.10%
2015-01-06,51.1,53.2,53.6,50.52,338.88K,-3.78%
2015-01-05,53.11,56.25,56.3,52.66,289.89K,-5.87%
2015-01-02,56.42,58.02,58.54,55.48,177.98K,-1.59%
2014-12-31,57.33,57.35,57.68,55.81,148.14K,-0.98%
2014-12-30,57.9,57.93,58.39,56.74,154.11K,0.03%
2014-12-29,57.88,59.65,60.43,57.37,155.11K,-2.64%
2014-12-26,59.45,60.19,60.97,59.21,48.78K,-1.31%
2014-12-24,60.24,61.63,61.71,59.37,108.67K,-2.35%
2014-12-23,61.69,60.24,62.14,59.84,159.86K,2.63%
2014-12-22,60.11,61.99,62.97,59.84,195.79K,-2.07%
2014-12-19,61.38,59.85,62.66,59.05,222.07K,3.56%
2014-12-18,59.27,60.94,63.7,59.17,294.89K,-3.12%
2014-12-17,61.18,59.9,63.4,58.71,304.05K,2.21%
2014-12-16,59.86,60.65,61.01,58.5,19.70K,-1.97%
2014-12-15,61.06,61.2,63.25,60.2,107.89K,-1.28%
2014-12-12,61.85,63.01,63.66,61.35,153.89K,-2.87%
2014-12-11,63.68,64.47,65.13,63.05,185.63K,-0.87%
2014-12-10,64.24,66.25,66.36,63.56,249.64K,-3.89%
2014-12-09,66.84,66,67.04,65.29,190.52K,0.98%
2014-12-08,66.19,68.79,68.79,65.93,191.67K,-4.17%
2014-12-05,69.07,69.53,69.82,68.1,196.04K,-0.82%
2014-12-04,69.64,70.15,70.6,68.81,190.55K,-0.40%
2014-12-03,69.92,70.95,71.46,69.5,244.86K,-0.88%
2014-12-02,70.54,72.51,73.03,70.4,252.52K,-2.76%
2014-12-01,72.54,70.15,73.02,67.53,369.85K,3.41%
2014-11-28,70.15,72.58,73.41,69.78,262.03K,-3.35%
2014-11-27,72.58,77.4,77.46,71.25,244.65K,-6.65%
2014-11-26,77.75,78.28,78.86,77.3,202.19K,-0.74%
2014-11-25,78.33,79.45,80.44,78.05,256.83K,-1.69%
2014-11-24,79.68,80.5,80.85,79.4,151.15K,-0.85%
2014-11-21,80.36,79.95,81.61,79.07,264.61K,1.30%
2014-11-20,79.33,78.16,79.95,77.56,206.38K,1.57%
2014-11-19,78.1,78.41,79.45,78.04,247.15K,-0.47%
2014-11-18,78.47,79.01,79.95,78.21,209.55K,-1.06%
2014-11-17,79.31,79.5,79.6,77.94,189.08K,-0.13%
2014-11-14,79.41,77.67,79.75,76.76,267.61K,1.91%
2014-11-13,77.92,79.97,80.2,77.83,21.79K,-3.06%
2014-11-12,80.38,81.25,81.65,79.72,116.12K,-1.58%
2014-11-11,81.67,82.13,82.38,80.46,213.42K,-0.81%
2014-11-10,82.34,83.26,84.97,81.88,219.91K,-1.26%
2014-11-07,83.39,82.67,83.86,82.16,195.44K,0.64%
2014-11-06,82.86,83.1,83.27,82.05,224.78K,-0.11%
2014-11-05,82.95,82.78,84.45,81.63,364.45K,0.16%
2014-11-04,82.82,84.21,84.43,82.08,313.67K,-2.31%
2014-11-03,84.78,85.85,86.4,84.01,248.17K,-1.26%
2014-10-31,85.86,86.02,86.25,84.6,225.37K,-0.44%
2014-10-30,86.24,86.93,87.1,85.71,191.86K,-1.01%
2014-10-29,87.12,86.1,87.94,86.06,243.75K,1.27%
2014-10-28,86.03,85.5,86.38,85.08,198.83K,0.23%
2014-10-27,85.83,86.08,86.25,84.55,228.43K,-0.35%
2014-10-24,86.13,86.78,86.78,85.29,208.22K,-0.81%
2014-10-23,86.83,84.71,87.19,84.12,306.98K,2.50%
2014-10-22,84.71,86.46,87.07,84.47,264.81K,-1.75%
2014-10-21,86.22,85.13,86.49,85.1,258.39K,0.96%
2014-10-20,85.4,86.35,86.7,84.41,247.60K,-0.88%
2014-10-17,86.16,86.5,87.34,85.49,280.47K,2.00%
2014-10-16,84.47,83.45,85,82.6,14.94K,0.82%
2014-10-15,83.78,85.54,85.62,83.02,86.48K,-1.48%
2014-10-14,85.04,88.23,88.74,84.48,141.66K,-4.33%
2014-10-13,88.89,89.89,90.18,87.74,146.53K,-1.46%
2014-10-10,90.21,89.1,90.49,88.11,197.68K,0.18%
2014-10-09,90.05,91.62,91.85,88.42,216.47K,-1.46%
2014-10-08,91.38,91.89,91.89,90.57,207.63K,-0.79%
2014-10-07,92.11,92.81,92.99,91.4,222.63K,-0.73%
2014-10-06,92.79,91.9,93.21,91.25,203.60K,0.52%
2014-10-03,92.31,93.75,94.06,91.48,239.60K,-1.19%
2014-10-02,93.42,94.3,94.37,91.55,285.90K,-0.79%
2014-10-01,94.16,94.77,96.23,93.78,247.99K,-0.54%
2014-09-30,94.67,97.15,97.8,94.24,261.95K,-2.60%
2014-09-29,97.2,96.81,97.34,96.27,170.23K,0.21%
2014-09-26,97,97.11,97.5,96.46,165.60K,0.00%
2014-09-25,97,97.03,97.56,96.22,190.33K,0.05%
2014-09-24,96.95,96.89,97.33,95.6,216.74K,0.10%
2014-09-23,96.85,96.91,97.59,96.55,192.36K,-0.12%
2014-09-22,96.97,98.5,98.5,96.38,171.14K,-1.44%
2014-09-19,98.39,97.65,98.49,97.18,158.39K,0.71%
2014-09-18,97.7,98.69,99.14,97.42,193.58K,-1.28%
2014-09-17,98.97,98.95,99.61,98.51,190.17K,-0.08%
2014-09-16,99.05,97.96,99.45,97.44,199.77K,2.48%
2014-09-15,96.65,96.9,97.33,96.21,19.95K,-0.47%
2014-09-12,97.11,98.25,98.8,96.83,103.49K,-0.99%
2014-09-11,98.08,98.12,98.49,96.72,144.79K,0.04%
2014-09-10,98.04,99.35,99.47,97.6,203.28K,-1.13%
2014-09-09,99.16,100.2,100.62,99.03,172.50K,-1.04%
2014-09-08,100.2,100.8,101,99.36,197.61K,-0.61%
2014-09-05,100.82,101.87,102.44,100.35,202.14K,-0.99%
2014-09-04,101.83,102.41,102.95,101.7,218.44K,-0.91%
2014-09-03,102.77,100.4,103.13,100.4,233.64K,2.42%
2014-09-02,100.34,102.64,102.86,100.17,243.85K,-2.38%
2014-09-01,102.79,102.95,103.3,102.56,73.33K,-0.39%
2014-08-29,103.19,102.51,103.3,102.49,169.33K,0.71%
2014-08-28,102.46,102.54,103.2,102.25,184.78K,-0.25%
2014-08-27,102.72,102.42,103.07,102.05,146.23K,0.21%
2014-08-26,102.5,102.71,103.4,102.35,149.83K,-0.15%
2014-08-25,102.65,102.1,102.82,101.65,82.94K,0.35%
2014-08-22,102.29,102.67,102.83,102,132.51K,-0.33%
