"list","date","vendor","product","price","usd","rate","cat","subcat","subsubcat","feedback","from","to","great","good","ok","poor","horrible","worst","none","year","month","day","gold.oz"
"2014-07-21__SRPvNFSC20.html","2014-07-21","HollandOnline","100 gr Uncut Pure Dutch HQ White MDMA",3.06503623,1900.3531129623,620.01,"Drugs","Ecstasy","MDMA"," Feedbacks: No feedbacks found. ","netherlands","eu",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","07","21",1313.7
"2014-12-11__fuG0lN6XjP.html","2014-12-11","ozchronic","Dexamphetamine Sulphate - 100 x 5mg Tablets",1.94769059,676.1018345067,347.13,"Drugs","Prescription",NA," Feedbacks: 5/5 30 days ago anon ~5/5, 15~25 deals 5/5 Perfect vendor 32 days ago anon 5.00/5, 25~40 deals ","australia","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","12","11",1225.1
"2014-11-30__e4YG5KVWRy.html","2014-11-30","Products4You","100g - Milky White MDMA - 93% Purity",5.04634671,1902.9268808739,377.09,"Drugs","Ecstasy","MDMA"," Feedbacks: No feedbacks found. ","denmark","worldwide",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","30",NA
"2014-10-06__MCZADGypVy.html","2014-10-06","mrchow","MR CHOWS SPECIAL FREEBASE CRACK COCAINE (STRAIGHT FROM THE HOOD) 28 GRAMS",6.19233389,2033.9339895094,328.46,"Drugs","Stimulants","Cocaine"," Feedbacks: No feedbacks found. ","usa","worldwide",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","10","06",1206.7
"2014-11-22__gv4najFpfW.html","2014-11-22","GoodmedsDK","Xanax Upjohn 1mg/50 Tabs. By Pfizer",0.22983995,80.912855998,352.04,"Drugs","Benzos",NA," Feedbacks: 5/5 No problems. 125 days ago anon ~5/5, 1~2 deals 5/5 Excellent vendor, Super fast shipping, Great stuff and got the 10% extra. Thank you. Will buy again =) 136 days ago anon ~5/5, 6~10 deals ","denmark","world",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","11","22",NA
"2014-12-29__EDrtY6xcmk.html","2014-12-29","rc4me","Ethylone (bk-MDEA) - 500g",6.66687831,2082.9994591764,312.44,"Drugs","RCs",NA," Feedbacks: No feedbacks found. ","china","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","12","29",1181.7
"2014-09-22__ndyS7ZfZrg.html","2014-09-22","LoveIsTheKey","2 CB Powder 99% Purity 1g",0.21232483,84.6942514387,398.89,"Drugs","Psychedelics","2C"," Feedbacks: 5/5 I wish my regular post arrived as quick as this. Nice and fluffy product, hopefully back for more 2 days ago anon ~5/5, 6~10 deals 5/5 Quick shipping, solid stealth. Good quality product 10 days ago anon ~5/5, 6~10 deals 5/5 Great! Nice stealth, product tried once so far but is defo legit and high quality. Also fast dispatch. Will be back. 17 days ago anon ~5/5, 25~40 deals ","worldwide","world",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","09","22",1216.8
"2014-10-17__uZZ1v8eqgi.html","2014-10-17","Bigdeal100","Copy of Cartier bangle love-Leve Lovers Bangles white Gold Diamond Replica",0.1585917,60.331454514,380.42,"Jewelry",NA,NA," Feedbacks: No feedbacks found. ","china","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","10","17",1238.3
"2014-12-30__rs69MBxWUJ.html","2014-12-30","weedybusnis","test order 5 gram strawberry buds",0.15618654,48.3975231498,309.87,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 FE will update soon 5 days ago anon 1~2 deals 5/5 Fe / will Update after arrive 6 days ago anon ~5/5, 3~5 deals 4/5 Good weed, but little under weight and packing poorly welded in mbb only, without vacuum. it smelled when I took it out of the 16 days ago anon 6~10 deals 5/5 the best weed whith this guy thx man i'll be back 16 days ago anon 4.80/5, 40~55 deals 5/5 10/5 Great communication, product and stealth. Delivery fast. THANKS 25 days ago anon 5.00/5, 15~25 deals 5/5 Excellent vendor, great weed and packaging. 26 days ago anon ~5/5, 10~15 deals 5/5 FE ty for good communication awesome! good weed! 37 days ago anon 3~5 deals 5/5 FE :) 38 days ago anon ~5/5, 40~55 deals 5/5 Can you please send the refund, this the order weedy... 38 days ago anon ~4/5, 6~10 deals 5/5 all good, professional vendor 39 days ago anon ~5/5, 6~10 deals 5/5 Arrived to UK in 4 Days Nice smoke a*** 39 days ago anon 1~2 deals 5/5 Excellent, thank you very much very happy customer 40 days ago anon 3~5 deals 5/5 Nice 5/5 40 days ago anon 5.00/5, 25~40 deals 5/5 FE for first order. Update when product arrives 40 days ago anon 6~10 deals 5/5 only 3 Days! good weed 40 days ago anon 3~5 deals 5/5 Good product, service and packaging. 42 days ago anon 1~2 deals 5/5 FE early as it is my first Agora order. Ordered from vendor before and never had issues. 44 days ago anon 1~2 deals 5/5 took abit longer than expected but its here and its bangin :) thanks man 46 days ago anon ~5/5, 10~15 deals 5/5 Finalized early first order so hopefully all goes we'll looks a trusted vendor will update ASAP 49 days ago anon 3~5 deals 5/5 received even more than. 5.0, Quality was average. 55 days ago anon 5.00/5, 40~55 deals ","netherlands","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","12","30",1200.2
"2014-10-24__E82lo0yqTp.html","2014-10-24","worldwideweed","14G UK Cheese TOP SHELF-ESCROW",0.33050567,117.3856988139,355.17,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 Thanks! 63 days ago anon ~5/5, 3~5 deals 5/5 Awesome bud, came in good time , well packaged! will most definitely order again 71 days ago anon ~5/5, 15~25 deals ","canada","worldwide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","10","24",1231.2
