Date	Price	Open	High	Low	Change %
Jan 14, 2015	170.00	220.68	221.15	162.68	-22.97%
Jan 13, 2015	220.68	264.29	265.00	213.41	-16.50%
Jan 12, 2015	264.29	262.50	270.00	258.80	0.58%
Jan 11, 2015	262.77	272.54	278.27	260.12	-3.59%
Jan 10, 2015	272.54	285.98	287.18	267.84	-4.70%
Jan 09, 2015	285.98	282.10	291.50	277.11	1.18%
Jan 08, 2015	282.66	293.55	294.00	282.06	-3.71%
Jan 07, 2015	293.55	284.10	301.99	281.16	3.33%
Jan 06, 2015	284.10	271.86	286.14	270.06	4.50%
Jan 05, 2015	271.86	266.00	279.57	264.77	2.20%
Jan 04, 2015	266.00	277.03	290.00	260.00	-3.84%
Jan 03, 2015	276.61	312.87	313.29	276.61	-11.59%
Jan 02, 2015	312.87	312.44	315.40	311.00	0.14%
Jan 01, 2015	312.44	317.00	318.11	310.97	-1.37%
Dec 31, 2014	316.77	308.64	317.00	307.51	2.68%
Dec 30, 2014	308.50	311.34	313.99	307.36	-0.91%
Dec 29, 2014	311.34	313.77	317.00	310.00	-0.78%
Dec 28, 2014	313.77	313.00	316.90	307.00	0.25%
Dec 27, 2014	313.00	324.96	326.50	308.00	-3.68%
Dec 26, 2014	324.96	316.52	329.00	314.70	2.67%
Dec 25, 2014	316.52	319.01	321.00	315.38	-0.78%
Dec 24, 2014	319.01	330.00	331.00	317.01	-3.33%
Dec 23, 2014	330.00	328.70	334.55	326.00	0.40%
Dec 22, 2014	328.70	317.00	332.03	316.63	3.69%
Dec 21, 2014	317.00	328.00	328.97	314.00	-3.35%
Dec 20, 2014	328.00	314.99	330.00	311.00	4.13%
Dec 19, 2014	314.99	311.31	317.50	304.80	1.18%
Dec 18, 2014	311.31	319.00	322.76	304.05	-2.41%
Dec 17, 2014	319.00	320.41	329.00	312.82	-0.44%
Dec 16, 2014	320.41	338.45	339.80	320.00	-5.33%
Dec 15, 2014	338.45	343.06	345.00	335.07	-1.34%
Dec 14, 2014	343.06	342.57	346.94	336.56	0.14%
Dec 13, 2014	342.57	346.00	346.00	339.07	-0.99%
Dec 12, 2014	346.00	341.49	349.65	340.05	1.32%
Dec 11, 2014	341.49	340.00	356.99	332.51	0.44%
Dec 10, 2014	340.00	345.91	348.00	340.00	-1.71%
Dec 09, 2014	345.92	356.99	358.00	337.15	-3.10%
Dec 08, 2014	356.99	367.57	369.00	355.34	-2.88%
Dec 07, 2014	367.57	369.13	371.01	367.01	-0.42%
Dec 06, 2014	369.13	369.99	372.00	363.00	-0.23%
Dec 05, 2014	369.99	364.00	373.00	360.36	1.65%
Dec 04, 2014	364.00	370.12	374.00	362.01	-1.65%
Dec 03, 2014	370.12	377.50	379.50	367.90	-1.95%
Dec 02, 2014	377.50	376.68	382.00	372.54	0.25%
Dec 01, 2014	376.55	374.39	382.50	373.01	0.58%
Nov 30, 2014	374.39	373.99	378.00	370.00	0.11%
Nov 29, 2014	373.99	373.00	386.00	369.50	0.26%
Nov 28, 2014	373.00	366.02	380.92	354.00	1.91%
Nov 27, 2014	366.02	364.39	370.00	362.00	0.49%
Nov 26, 2014	364.23	371.20	375.00	361.05	-1.88%
Nov 25, 2014	371.20	373.50	389.00	368.11	-0.62%
Nov 24, 2014	373.50	364.98	386.32	362.70	2.33%
Nov 23, 2014	364.98	350.00	368.86	348.20	4.28%
